id,SupplierName,Specialization,Address,Phone,Email,LeadTimeInDays,Reliability
5,MediCore Technologies,"Arthrocentesis kit, Lumbar puncture kit, Syringes, Injection syringe","1420 Medical Plaza, Boston, MA 02115",+1 (617) 555-9876,orders@medicoretech.com,3-5,Excellent (99.5% on-time delivery)
6,Apex Diagnostic Supply,"Monospot test kit, Throat swab kit, Anoscope, Gloves","890 Research Blvd, Austin, TX 78759",+1 (512) 555-3456,supply@apexdiagnostic.com,5-8,High (96% on-time delivery)
7,SurgiPro Distribution,"Polyp removal instruments, Endoscopic clipping tools, Rubber band ligation kit","2240 Surgical Way, Miami, FL 33101",+1 (305) 555-7654,info@surgiprodist.com,12-16,Moderate (88% on-time delivery)
8,QuickMed Solutions,"Gloves, Syringes, Lubricant, Enema kit","567 Healthcare St, Phoenix, AZ 85001",+1 (602) 555-2468,sales@quickmedsol.com,2-4,High (94% on-time delivery)
9,Advanced Procedure Supplies,"Lumbar puncture kit, Arthrocentesis kit, Anoscope, IV infusion set","3355 Clinical Drive, Seattle, WA 98101",+1 (206) 555-8901,procurement@advancedprocedure.com,8-12,Excellent (98% on-time delivery)
10,EconoMed Wholesale,"Throat swab kit, Injection syringe, Enema kit, Lubricant, Gloves","4567 Budget Lane, Denver, CO 80202",+1 (303) 555-1357,wholesale@economedco.com,14-18,Low (82% on-time delivery)
11,Premier Endoscopy Supply,"Endoscopic clipping tools, Polyp removal instruments, Rubber band ligation kit, Anoscope","7890 Specialty Circle, Atlanta, GA 30309",+1 (404) 555-9753,orders@premierendoscopy.com,6-9,High (97% on-time delivery)
12,RapidResponse Medical,"IV infusion set, Syringes, Monospot test kit, Gloves","1122 Emergency Ave, Chicago, IL 60601",+1 (312) 555-4680,rapid@rrmedical.com,1-3,Excellent (99.8% on-time delivery)
1,MedSupply Solutions,"Syringes, Gloves, IV infusion set, Enema kit, Injection syringe, Lubricant","123 Healthcare Drive, San Francisco, CA 94103",+1 (415) 555-1234,info@medsupplysolutions.com,5–7,High (99% on-time delivery)
2,EuroDiagnostics Inc.,"Monospot test kit, Throat swab kit","456 Lab Street, Los Angeles, CA 90001",+1 (213) 555-5678,support@eurodiagnostics.com,7–10,Moderate (90% on-time delivery)
3,Precision Surgical Supplies,"Polyp removal instruments, Endoscopic clipping tools, Rubber band ligation kit, Lumbar puncture kit, Arthrocentesis kit","789 Surgery Lane, Sacramento, CA 95814",+1 (916) 555-7890,sales@precisionsurgical.com,10–14,High (95% on-time delivery)
4,GlobalMed Essentials,"Anoscope, Enema kit, Lubricant, IV infusion set","321 General Avenue, San Diego, CA 92101",+1 (619) 555-4321,contact@globalmedessentials.com,7–10,High (97% on-time delivery)
